fold,sample_id,base_mof_id,mof_name,atom_idx,element,x,y,z,graphlime_onem_xe_uptake_mmol_g,taban_tahmin_xe_uptake_mmol_g,gercek_xe_uptake_mmol_g,graphlime_onem_kr_uptake_mmol_g,taban_tahmin_kr_uptake_mmol_g,gercek_kr_uptake_mmol_g,graphlime_onem_xe_kr_selectivity,taban_tahmin_xe_kr_selectivity,gercek_xe_kr_selectivity,graphlime_onem_i2_uptake_mmol_g,taban_tahmin_i2_uptake_mmol_g,gercek_i2_uptake_mmol_g
1,finetune_000005_v00,finetune_000005,CuHC4O3,51,C,2.0552046298980713,1.189743161201477,-5.955714702606201,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,52,C,1.2293133735656738,0.3105447292327881,6.898250102996826,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,53,C,1.0057848691940308,0.6467088460922241,-6.864083290100098,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,54,C,-0.27026867866516113,0.4269092381000519,-6.195537567138672,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,55,C,0.26699092984199524,4.266937255859375,-3.685326099395752,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,56,C,2.911839246749878,-6.231725692749023,3.8737847805023193,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,57,C,-0.6364434361457825,5.443511962890625,-3.5211684703826904,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,58,C,-2.0335848331451416,5.133206367492676,-3.7627878189086914,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,59,O,0.6083458065986633,-0.2583483159542084,2.1159353256225586,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,60,O,1.8439663648605347,-1.9908863306045532,2.3952112197875977,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,61,O,-1.9034419059753418,-1.848663091659546,2.1433804035186768,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
1,finetune_000005_v00,finetune_000005,CuHC4O3,62,O,3.2224764823913574,-1.7581573724746704,5.744887351989746,0.0,-0.16121380031108856,0.1726163719577526,0.0,-0.1924183964729309,0.1041350349874516,0.0,-0.387826144695282,3.214323123757501,0.0,-0.3946526348590851,0.0774976468831064
