fold,sample_id,base_mof_id,mof_name,atom_idx,element,x,y,z,subgraphx_onem,in_cekirdek_alt_graf
1,finetune_000005_v00,finetune_000005,CuHC4O3,100,O,2.9866456985473633,1.758636236190796,-6.613707542419434,1.0,True
1,finetune_000005_v00,finetune_000005,CuHC4O3,101,O,3.620090961456299,3.9307732582092285,-4.953643321990967,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,0,C,-4.788256645202637,-6.322839260101318,0.7747468948364258,0.9598943615430451,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,1,C,-5.348786354064941,0.22238461673259735,-5.849793434143066,0.9599774149094928,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,2,Ho,-6.792863845825195,0.36115261912345886,-2.9908056259155273,0.9599034559982179,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,3,C,-6.621854782104492,3.529688596725464,-2.5166242122650146,0.9599520749270117,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,4,C,-6.659856796264648,-2.749563455581665,-2.400517225265503,0.9599570808386855,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,5,C,-4.788256645202637,5.2411603927612305,0.7747468948364258,0.9198571137699529,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,6,O,-6.061324596405029,2.662388563156128,-3.241712808609009,0.9200854721353513,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,7,O,-6.042323589324951,-1.882263422012329,-3.061300754547119,0.960047942672665,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,8,O,-5.728806972503662,4.709216594696045,0.14173263311386108,0.9598832774367452,False
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,9,O,-7.799917697906494,-1.0149633884429932,-1.2652713060379028,0.9200050591953548,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,10,O,-5.0637712478637695,0.11830861866474152,5.172105312347412,0.9599743663817325,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,11,O,-5.586299419403076,-4.195063591003418,0.07014364749193192,0.9599069311195002,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,12,Ho,-2.042609453201294,-5.698383331298828,2.3679280281066895,0.9598931958671572,True
